Gene	Value
AACS	2428.75754527
AADAT	1015.66595728
AANAT	0.936271475004
AASDHPPT	1956.85405916
AASS	1370.69679616
ABAT	5374.47068952
ABCA1	1143.50783412
ABCA10	31.0533619022
ABCA12	21.7591897539
ABCA13	7.0496246711
ABCA2	4371.27437703
ABCA3	3118.88653072
ABCA4	39.9046974153
ABCA5	1404.40606775
ABCA6	84.3635660115
ABCA7	686.632893515
ABCA8	795.722585513
ABCA9	68.2648777279
ABCB1	605.178203838
ABCB10	1129.51592246
ABCB11	2.49349945829
ABCB4	35.0097895063
ABCB5	22.6585667853
ABCB6	2362.04535289
ABCB7	946.375522365
ABCB8	1888.4407019
ABCB9	268.783931667
ABCC1	5030.38968426
ABCC10	1145.81210339
ABCC11	492.7472334
ABCC12	10.6273990094
ABCC2	14.7927565392
ABCC3	1035.89053552
ABCC4	23535.6041054
ABCC5	2041.42839731
ABCC6	247.352015942
ABCC8	332.292021359
ABCC9	973.31990017
ABCD1	1061.42145179
ABCD2	43.2425514626
ABCD3	3128.22614533
ABCD4	1356.14697802
ABCG1	1629.44768612
ABCG2	1862.1962351
ABCG4	12.371633648
ABCG5	3.31914564309
ABCG8	0.199311252128
ABHD5	1259.80328123
ABL1	7082.01725739
ACAA1	6559.558466172538
ACAA2	1757.8647655078316
ACACA	12747.155006989926
ACACB	1704.5119757
ACAD8	4563.72055409
ACADL	1247.29217613
ACADM	2489.42265129
ACADS	1150.73177527
ACADSB	5400.31732704
ACADVL	14602.5919173
ACAT1	3420.487405198109
ACAT2	2745.4030092118905
ACE	2923.39101919
ACE2	217.161623588
ACER1	51.16570577319058
ACER2	433.8295929429003
ACER3	1244.11755146
ACHE	358.168801269
ACIN1	6298.8402724
ACLY	17604.9422024
ACMSD	0.20035675592
ACO1	3660.746788415383
ACO2	8542.540488084616
ACOT1	1249.3343443367523
ACOT12	2.61459139452
ACOT2	774.338403691
ACOT4	134.06543104790717
ACOT7	931.4983168248864
ACOT8	1402.6088005
ACOX1	6176.166208978795
ACOX2	668.247214053331
ACOX3	1727.3884847527318
ACP1	4166.10135815
ACSBG1	48.89910617541509
ACSBG2	2.131273796624586
ACSF3	1195.83419749
ACSL1	14052.979182775372
ACSL3	16163.831140700195
ACSL4	1837.914370838311
ACSL5	3324.3937857892915
ACSL6	466.4626412312606
ACSM1	2721.2345418701866
ACSM2A	1.5180506113615746
ACSM2B	0.8511066398421049
ACSM3	2623.4172637792803
ACSM4	0.0798251044728664
ACSM5	22.032367280622083
ACSM6	1.0931937780545873
ACSS1	6527.765903108444
ACSS2	2205.1003714615563
ACSS3	518.097082495
ACTB	205058.04779102845
ACTG1	131419.72554697155
ACTN1	20233.41779523448
ACTN2	1088.1297012844834
ACTN3	7.08479724502587
ACTN4	22795.20513832216
ACY1	2780.92159979
ACYP1	169.32794846012192
ACYP2	520.4546316358781
ADA	129.095283238
ADCY1	975.4939637805127
ADCY10	9.10366042408
ADCY2	987.167988701
ADCY3	1831.2048198783161
ADCY4	359.77308079228726
